episode_num,layer_num,quant_state,acc_state,reward,l1-bits,l2-bits,l3-bits,l4-bits,l5-bits,prob_2bits,prob_3bits,prob_4bits,prob_5bits,prob_8bits
39,0,0.925,0.0,0,5,8,8,8,8,0.17461115,0.1607709,0.18576851,0.27987882,0.1989706
39,1,0.825,0.0,0,5,4,8,8,8,0.17301148,0.15942198,0.18788373,0.28175348,0.1979294
39,2,0.7,0.0,0,5,4,3,8,8,0.14299023,0.17481543,0.22593021,0.26479536,0.19146878
39,3,0.7,0.0,0,5,4,3,8,8,0.1532078,0.16487157,0.21036567,0.2720835,0.19947149
39,4,0.7,0.7861333333333334,0.25594440154313564,5,4,3,8,8,0.16259335,0.15370369,0.19867451,0.2781465,0.20688193
40,0,0.925,0.0,0,5,8,8,8,8,0.17329794,0.1609762,0.18602353,0.2807018,0.19900052
40,1,0.825,0.0,0,5,4,8,8,8,0.17172638,0.15957099,0.18811707,0.28264707,0.19793847
40,2,0.7,0.0,0,5,4,3,8,8,0.14162813,0.17552271,0.22533649,0.26596195,0.19155072
40,3,0.7,0.0,0,5,4,3,8,8,0.15200396,0.1651739,0.2103978,0.2728976,0.19952677
40,4,0.625,0.7821333333333333,0.2900601592232375,5,4,3,8,5,0.16127615,0.15414524,0.1988246,0.27877972,0.20697427
41,0,0.925,0.0,0,5,8,8,8,8,0.17202723,0.16115959,0.18628117,0.28152472,0.19900729
41,1,0.85,0.0,0,5,5,8,8,8,0.17047077,0.15969706,0.18836771,0.28353965,0.19792487
41,2,0.7,0.0,0,5,5,2,8,8,0.13989489,0.17631735,0.22467071,0.26718768,0.19192936
41,3,0.625,0.0,0,5,5,2,5,8,0.15082885,0.16546988,0.2103446,0.27371007,0.19964668
41,4,0.475,0.14559999999999995,2.228767498566266e-12,5,5,2,5,2,0.16106683,0.15542753,0.2003869,0.2751194,0.20799935
42,0,1.0,0.0,0,8,8,8,8,8,0.17079538,0.16154537,0.18683617,0.28154698,0.19927615
42,1,1.0,0.0,0,8,8,8,8,8,0.16879976,0.15961792,0.18806903,0.28403312,0.1994801
42,2,0.85,0.0,0,8,8,2,8,8,0.13718078,0.17526832,0.22496022,0.2695409,0.19304976
42,3,0.775,0.0,0,8,8,2,5,8,0.1471925,0.16660817,0.21018665,0.27674258,0.19927011
42,4,0.775,0.5768,0.05976618875440874,8,8,2,5,8,0.15728253,0.15428095,0.19792087,0.28345153,0.20706409
43,0,1.0,0.0,0,8,8,8,8,8,0.16975115,0.16205317,0.18756875,0.28172588,0.19890109
43,1,0.875,0.0,0,8,3,8,8,8,0.16774885,0.16009209,0.18878144,0.28426534,0.19911233
43,2,0.8,0.0,0,8,3,5,8,8,0.13640992,0.17801839,0.22433731,0.26876384,0.1924705
43,3,0.7,0.0,0,8,3,5,4,8,0.14642946,0.16713674,0.21044093,0.27625278,0.19974008
43,4,0.625,0.8936,0.42270010048238504,8,3,5,4,5,0.15734315,0.15569502,0.19953541,0.2801488,0.20727766
44,0,0.925,0.0,0,5,8,8,8,8,0.16855527,0.16266094,0.18814549,0.2820003,0.19863798
44,1,0.925,0.0,0,5,8,8,8,8,0.16707109,0.1610732,0.19011185,0.28417203,0.19757184
44,2,0.85,0.0,0,5,8,5,8,8,0.13428172,0.17822847,0.22453928,0.27039057,0.19255994
44,3,0.75,0.0,0,5,8,5,4,8,0.14435297,0.16771074,0.21078558,0.2779412,0.19920957
44,4,0.675,0.9418666666666665,0.4364800449055895,5,8,5,4,5,0.15520555,0.1556607,0.1990258,0.2832799,0.20682801
45,0,0.925,0.0,0,5,8,8,8,8,0.1672611,0.16291124,0.18849216,0.2828338,0.19850165
45,1,0.85,0.0,0,5,5,8,8,8,0.16582806,0.16133788,0.19040872,0.28495634,0.19746901
45,2,0.775,0.0,0,5,5,5,8,8,0.13336097,0.17940582,0.2243263,0.27141213,0.19149476
45,3,0.775,0.0,0,5,5,5,8,8,0.14391392,0.1675252,0.2113487,0.27771562,0.19949657
45,4,0.675,0.9551999999999998,0.4503164216715225,5,5,5,8,4,0.15310362,0.15554622,0.19908842,0.28566343,0.20659836
46,0,1.0,0.0,0,8,8,8,8,8,0.16591248,0.16286625,0.18873899,0.2842355,0.19824682
46,1,0.85,0.0,0,8,2,8,8,8,0.1639606,0.16096772,0.1898498,0.28673625,0.19848563
46,2,0.75,0.0,0,8,2,4,8,8,0.13167658,0.17940569,0.22434051,0.27351215,0.19106504
46,3,0.75,0.0,0,8,2,4,8,8,0.14300047,0.16706517,0.21190865,0.278684,0.19934173
46,4,0.625,0.6648000000000001,0.1592062633664134,8,2,4,8,3,0.15224022,0.1557171,0.1998311,0.28595096,0.20626062
47,0,1.0,0.0,0,8,8,8,8,8,0.16464332,0.1628699,0.18899319,0.2855734,0.19792016
47,1,0.925,0.0,0,8,5,8,8,8,0.16269207,0.16100116,0.19008426,0.2880517,0.19817086
47,2,0.8,0.0,0,8,5,3,8,8,0.12938814,0.17865096,0.22451259,0.27629203,0.19115625
47,3,0.675,0.0,0,8,5,3,3,8,0.14068827,0.16717763,0.21216886,0.2810243,0.19894102
