l1,l2,l3,l4,l5,l6,l7,acc
4,3,3,6,3,5,3,9.440000000000005
3,5,4,3,8,8,4,9.560000000000002
5,8,5,6,6,8,3,9.540000000000004
4,4,6,5,6,3,3,9.619999999999996
8,3,4,5,4,4,8,9.960000000000003
5,5,3,6,6,4,6,10.219999999999995
3,5,8,8,5,5,6,58.06
6,5,5,3,5,6,6,29.220000000000002
6,6,4,5,6,8,8,74.86
6,3,5,3,8,3,8,10.060000000000002
8,8,5,5,8,4,8,68.52000000000001
8,6,8,4,6,3,4,9.48
4,5,4,3,3,6,8,9.919999999999995
6,5,6,8,4,8,6,69.06
6,4,4,4,3,3,8,9.999999999999998
8,6,8,4,4,3,3,9.499999999999996
8,5,8,8,8,4,3,9.98
5,6,5,3,3,8,3,9.78
6,5,6,6,4,3,3,9.379999999999999
6,3,5,4,4,4,4,9.760000000000002
4,3,6,3,6,3,8,10.08
3,4,3,3,8,8,8,9.999999999999998
6,6,8,3,4,6,4,8.760000000000002
8,6,5,6,4,3,4,9.78
5,4,6,6,8,4,6,58.56
8,5,6,8,4,3,6,9.960000000000003
8,5,3,3,8,6,4,9.760000000000002
3,8,4,4,3,3,4,9.899999999999999
6,4,4,8,4,3,3,9.899999999999999
8,3,4,4,5,8,6,9.960000000000003
8,3,3,6,4,4,8,10.340000000000005
3,5,5,3,8,8,5,9.640000000000004
5,6,5,5,6,3,8,10.319999999999997
3,3,5,8,4,6,5,9.999999999999998
8,5,3,8,6,4,8,10.519999999999996
8,3,8,3,5,3,8,9.98
6,4,4,4,6,6,4,10.140000000000004
8,6,3,6,6,6,6,42.7
4,5,8,4,4,4,3,10.7
8,6,8,3,5,5,8,9.799999999999997
4,6,4,6,8,4,6,50.8
5,4,4,4,5,4,4,9.240000000000004
8,5,6,4,5,8,3,9.540000000000004
5,6,5,4,5,4,8,35.199999999999996
4,8,3,8,5,3,4,10.219999999999995
5,4,5,6,4,4,3,9.819999999999995
8,5,4,6,6,8,6,77.06
3,8,5,4,8,5,3,10.460000000000003
8,4,5,5,4,6,6,57.42
